occupation_code,occupation_title,ai_exposure,occ_clean
45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",-0.4791843,first line supervisors/managers of farming fishing forestry workers
45-2011,Agricultural Inspectors,0.1704867,agricultural inspectors
45-2021,Animal Breeders,-1.044292,animal breeders
45-2041,"Graders and Sorters, Agricultural Products",-1.370968,graders sorters agricultural products
45-2091,Agricultural Equipment Operators,-1.145156,agricultural equipment operators
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.601349,farmworkers laborers crop nursery greenhouse
45-2093,"Farmworkers, Farm and Ranch Animals",-1.108432,farmworkers farm ranch animals
45-3011,Fishers and Related Fishing Workers,-1.513249,fishers related fishing workers
45-3021,Hunters and Trappers,-1.304797,hunters trappers
45-4011,Forest and Conservation Workers,-1.064205,forest conservation workers
45-4021,Fallers,-1.795407,fallers
45-4022,Logging Equipment Operators,-1.003702,logging equipment operators
45-4023,Log Graders and Scalers,-0.4768305,log graders scalers
47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,-0.3054048,first line supervisors/managers of construction trades extraction workers
47-2011,Boilermakers,-1.097532,boilermakers
47-2021,Brickmasons and Blockmasons,-1.75434,brickmasons blockmasons
47-2022,Stonemasons,-1.714759,stonemasons
47-2031,Carpenters,-1.323631,carpenters
47-2041,Carpet Installers,-1.564577,carpet installers
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.301024,floor layers except carpet wood hard tiles
47-2043,Floor Sanders and Finishers,-1.748722,floor sanders finishers
47-2044,Tile and Marble Setters,-1.22543,tile marble setters
47-2051,Cement Masons and Concrete Finishers,-1.777407,cement masons concrete finishers
47-2053,Terrazzo Workers and Finishers,-1.776065,terrazzo workers finishers
47-2061,Construction Laborers,-1.622988,construction laborers
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-1.184739,paving surfacing tamping equipment operators
47-2072,Pile-Driver Operators,-1.220009,pile driver operators
47-2073,Operating Engineers and Other Construction Equipment Operators,-0.8815078,operating engineers other construction equipment operators
47-2081,Drywall and Ceiling Tile Installers,-1.647971,drywall ceiling tile installers
47-2082,Tapers,-1.540774,tapers
47-2111,Electricians,-0.7796905,electricians
47-2121,Glaziers,-1.388901,glaziers
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.618772,insulation workers floor ceiling wall
47-2132,"Insulation Workers, Mechanical",-1.268615,insulation workers mechanical
47-2141,"Painters, Construction and Maintenance",-1.58799,painters construction maintenance
47-2142,Paperhangers,-1.72753,paperhangers
47-2151,Pipelayers,-1.225611,pipelayers
47-2152,"Plumbers, Pipefitters, and Steamfitters",-1.121219,plumbers pipefitters steamfitters
47-2161,Plasterers and Stucco Masons,-1.755588,plasterers stucco masons
47-2171,Reinforcing Iron and Rebar Workers,-1.970997,reinforcing iron rebar workers
47-2181,Roofers,-1.752941,roofers
47-2211,Sheet Metal Workers,-1.174972,sheet metal workers
47-2221,Structural Iron and Steel Workers,-1.780065,structural iron steel workers
47-2231,Solar Photovoltaic Installers,-0.9441692,solar photovoltaic installers
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.94229,helpers  brickmasons blockmasons stonemasons tile marble setters
47-3012,Helpers--Carpenters,-1.425282,helpers  carpenters
47-3013,Helpers--Electricians,-1.506896,helpers  electricians
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.04484,helpers  painters paperhangers plasterers stucco masons
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.678876,helpers  pipelayers plumbers pipefitters steamfitters
47-3016,Helpers--Roofers,-1.89822,helpers  roofers
47-4011,Construction and Building Inspectors,0.2860245,construction building inspectors
47-4021,Elevator Installers and Repairers,-0.8604742,elevator installers repairers
47-4031,Fence Erectors,-1.902113,fence erectors
47-4041,Hazardous Materials Removal Workers,-0.6887439,hazardous materials removal workers
47-4051,Highway Maintenance Workers,-1.27909,highway maintenance workers
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.39906,rail track laying maintenance equipment operators
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.210591,septic tank servicers sewer pipe cleaners
47-4091,Segmental Pavers,-0.9827304,segmental pavers
47-4099,"Construction and Related Workers, All Other",-0.8728439,construction related workers all other
47-5011,"Derrick Operators, Oil and Gas",-1.415002,derrick operators oil gas
47-5012,"Rotary Drill Operators, Oil and Gas",-0.7737326,rotary drill operators oil gas
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.971916,service unit operators oil gas mining
47-5021,"Earth Drillers, Except Oil and Gas",-0.7018391,earth drillers except oil gas
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.773027,explosives workers ordnance handling experts blasters
47-5041,Continuous Mining Machine Operators,-1.165492,continuous mining machine operators
47-5042,Mine Cutting and Channeling Machine Operators,-1.200425,mine cutting channeling machine operators
47-5051,"Rock Splitters, Quarry",-1.763494,rock splitters quarry
47-5061,"Roof Bolters, Mining",-1.618518,roof bolters mining
47-5071,"Roustabouts, Oil and Gas",-1.518977,roustabouts oil gas
47-5081,Helpers--Extraction Workers,-1.543154,helpers  extraction workers
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",-0.0205169,first line supervisors/managers of mechanics installers repairers
49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.3458247,computer automated teller office machine repairers
49-2021,Radio Mechanics,-0.6335382,radio mechanics
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.853048,telecommunications equipment installers repairers except line installers
49-2091,Avionics Technicians,-0.1728535,avionics technicians
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.8106341,electric motor power tool related repairers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.8303875,electrical electronics installers repairers transportation equipment
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.4632031,electrical electronics repairers commercial industrial equipment
