occupation_code,occupation_name,weekly_pay,year,occ_clean
29-2061,Licensed Practical and Licensed Vocational Nurses,59730.0,2023,licensed practical licensed vocational nurses
29-2070,Medical Records Specialists,48780.0,2023,medical records specialists
29-2072,Medical Records Specialists,48780.0,2023,medical records specialists
29-2080,"Opticians, Dispensing",44170.0,2023,opticians dispensing
29-2081,"Opticians, Dispensing",44170.0,2023,opticians dispensing
29-2090,Miscellaneous Health Technologists and Technicians,48010.0,2023,miscellaneous health technologists technicians
29-2091,Orthotists and Prosthetists,78100.0,2023,orthotists prosthetists
29-2092,Hearing Aid Specialists,58670.0,2023,hearing aid specialists
29-2099,"Health Technologists and Technicians, All Other",47470.0,2023,health technologists technicians all other
29-9000,Other Healthcare Practitioners and Technical Occupations,61020.0,2023,other healthcare practitioners technical occupations
29-9020,Health Information Technologists and Medical Registrars,62990.0,2023,health information technologists medical registrars
29-9021,Health Information Technologists and Medical Registrars,62990.0,2023,health information technologists medical registrars
29-9090,Miscellaneous Health Practitioners and Technical Workers,60410.0,2023,miscellaneous health practitioners technical workers
29-9091,Athletic Trainers,57930.0,2023,athletic trainers
29-9092,Genetic Counselors,95770.0,2023,genetic counselors
29-9093,Surgical Assistants,59160.0,2023,surgical assistants
29-9099,"Healthcare Practitioners and Technical Workers, All Other",63630.0,2023,healthcare practitioners technical workers all other
31-0000,Healthcare Support Occupations,36140.0,2023,healthcare support occupations
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",34570.0,2023,home health personal care aides; nursing assistants orderlies psychiatric aides
31-1120,Home Health and Personal Care Aides,33530.0,2023,home health personal care aides
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",38140.0,2023,nursing assistants orderlies psychiatric aides
31-1131,Nursing Assistants,38200.0,2023,nursing assistants
31-1132,Orderlies,36830.0,2023,orderlies
31-1133,Psychiatric Aides,39160.0,2023,psychiatric aides
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,60830.0,2023,occupational therapy physical therapist assistants aides
31-2010,Occupational Therapy Assistants and Aides,65450.0,2023,occupational therapy assistants aides
31-2011,Occupational Therapy Assistants,67010.0,2023,occupational therapy assistants
31-2012,Occupational Therapy Aides,36970.0,2023,occupational therapy aides
31-2020,Physical Therapist Assistants and Aides,58740.0,2023,physical therapist assistants aides
31-2021,Physical Therapist Assistants,64080.0,2023,physical therapist assistants
31-2022,Physical Therapist Aides,33520.0,2023,physical therapist aides
31-9000,Other Healthcare Support Occupations,43330.0,2023,other healthcare support occupations
31-9010,Massage Therapists,55310.0,2023,massage therapists
31-9011,Massage Therapists,55310.0,2023,massage therapists
31-9090,Miscellaneous Healthcare Support Occupations,42880.0,2023,miscellaneous healthcare support occupations
31-9091,Dental Assistants,46540.0,2023,dental assistants
31-9092,Medical Assistants,42000.0,2023,medical assistants
31-9093,Medical Equipment Preparers,45280.0,2023,medical equipment preparers
31-9094,Medical Transcriptionists,37060.0,2023,medical transcriptionists
31-9095,Pharmacy Aides,36200.0,2023,pharmacy aides
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,36440.0,2023,veterinary assistants laboratory animal caretakers
31-9097,Phlebotomists,41810.0,2023,phlebotomists
31-9099,"Healthcare Support Workers, All Other",44490.0,2023,healthcare support workers all other
33-0000,Protective Service Occupations,47760.0,2023,protective service occupations
33-1000,Supervisors of Protective Service Workers,81240.0,2023,supervisors of protective service workers
33-1010,First-Line Supervisors of Law Enforcement Workers,93800.0,2023,first line supervisors of law enforcement workers
