occupation_code,occupation_name,employment,year,occ_clean
25-1021,"Computer Science Teachers, Postsecondary",36150.0,2023,computer science teachers postsecondary
25-1022,"Mathematical Science Teachers, Postsecondary",48230.0,2023,mathematical science teachers postsecondary
25-1030,"Engineering and Architecture Teachers, Postsecondary",46710.0,2023,engineering architecture teachers postsecondary
25-1031,"Architecture Teachers, Postsecondary",8350.0,2023,architecture teachers postsecondary
25-1032,"Engineering Teachers, Postsecondary",38370.0,2023,engineering teachers postsecondary
25-1040,"Life Sciences Teachers, Postsecondary",60860.0,2023,life sciences teachers postsecondary
25-1041,"Agricultural Sciences Teachers, Postsecondary",7550.0,2023,agricultural sciences teachers postsecondary
25-1042,"Biological Science Teachers, Postsecondary",52050.0,2023,biological science teachers postsecondary
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1260.0,2023,forestry conservation science teachers postsecondary
25-1050,"Physical Sciences Teachers, Postsecondary",53130.0,2023,physical sciences teachers postsecondary
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11770.0,2023,atmospheric earth marine space sciences teachers postsecondary
25-1052,"Chemistry Teachers, Postsecondary",20210.0,2023,chemistry teachers postsecondary
25-1053,"Environmental Science Teachers, Postsecondary",7120.0,2023,environmental science teachers postsecondary
25-1054,"Physics Teachers, Postsecondary",14030.0,2023,physics teachers postsecondary
25-1060,"Social Sciences Teachers, Postsecondary",119750.0,2023,social sciences teachers postsecondary
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5030.0,2023,anthropology archeology teachers postsecondary
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11570.0,2023,area ethnic cultural studies teachers postsecondary
25-1063,"Economics Teachers, Postsecondary",12210.0,2023,economics teachers postsecondary
25-1064,"Geography Teachers, Postsecondary",3480.0,2023,geography teachers postsecondary
25-1065,"Political Science Teachers, Postsecondary",17090.0,2023,political science teachers postsecondary
25-1066,"Psychology Teachers, Postsecondary",40610.0,2023,psychology teachers postsecondary
25-1067,"Sociology Teachers, Postsecondary",12870.0,2023,sociology teachers postsecondary
25-1069,"Social Sciences Teachers, Postsecondary, All Other",16900.0,2023,social sciences teachers postsecondary all other
25-1070,"Health Teachers, Postsecondary",298060.0,2023,health teachers postsecondary
25-1071,"Health Specialties Teachers, Postsecondary",225360.0,2023,health specialties teachers postsecondary
25-1072,"Nursing Instructors and Teachers, Postsecondary",72700.0,2023,nursing instructors teachers postsecondary
25-1080,"Education and Library Science Teachers, Postsecondary",65090.0,2023,education library science teachers postsecondary
25-1081,"Education Teachers, Postsecondary",60860.0,2023,education teachers postsecondary
25-1082,"Library Science Teachers, Postsecondary",4220.0,2023,library science teachers postsecondary
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",39700.0,2023,law criminal justice social work teachers postsecondary
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13390.0,2023,criminal justice law enforcement teachers postsecondary
25-1112,"Law Teachers, Postsecondary",14570.0,2023,law teachers postsecondary
25-1113,"Social Work Teachers, Postsecondary",11730.0,2023,social work teachers postsecondary
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",249370.0,2023,arts communications history humanities teachers postsecondary
25-1121,"Art, Drama, and Music Teachers, Postsecondary",101500.0,2023,art drama music teachers postsecondary
25-1122,"Communications Teachers, Postsecondary",28520.0,2023,communications teachers postsecondary
25-1123,"English Language and Literature Teachers, Postsecondary",57600.0,2023,english language literature teachers postsecondary
25-1124,"Foreign Language and Literature Teachers, Postsecondary",20820.0,2023,foreign language literature teachers postsecondary
25-1125,"History Teachers, Postsecondary",20610.0,2023,history teachers postsecondary
25-1126,"Philosophy and Religion Teachers, Postsecondary",20320.0,2023,philosophy religion teachers postsecondary
25-1190,Miscellaneous Postsecondary Teachers,294080.0,2023,miscellaneous postsecondary teachers
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2660.0,2023,family consumer sciences teachers postsecondary
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",13270.0,2023,recreation fitness studies teachers postsecondary
25-1194,"Career/Technical Education Teachers, Postsecondary",111180.0,2023,career/technical education teachers postsecondary
25-1199,"Postsecondary Teachers, All Other",166980.0,2023,postsecondary teachers all other
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4261430.0,2023,preschool elementary middle secondary special education teachers
25-2010,Preschool and Kindergarten Teachers,548820.0,2023,preschool kindergarten teachers
25-2011,"Preschool Teachers, Except Special Education",430240.0,2023,preschool teachers except special education
25-2012,"Kindergarten Teachers, Except Special Education",118580.0,2023,kindergarten teachers except special education
25-2020,Elementary and Middle School Teachers,2048970.0,2023,elementary middle school teachers
25-2021,"Elementary School Teachers, Except Special Education",1410070.0,2023,elementary school teachers except special education
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",626690.0,2023,middle school teachers except special career/technical education
25-2023,"Career/Technical Education Teachers, Middle School",12210.0,2023,career/technical education teachers middle school
25-2030,Secondary School Teachers,1135230.0,2023,secondary school teachers
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1045170.0,2023,secondary school teachers except special career/technical education
25-2032,"Career/Technical Education Teachers, Secondary School",90070.0,2023,career/technical education teachers secondary school
25-2050,Special Education Teachers,528400.0,2023,special education teachers
25-2051,"Special Education Teachers, Preschool",24850.0,2023,special education teachers preschool
25-2052,"Special Education Teachers, Kindergarten and Elementary School",212850.0,2023,special education teachers kindergarten elementary school
25-2057,"Special Education Teachers, Middle School",88850.0,2023,special education teachers middle school
25-2058,"Special Education Teachers, Secondary School",158150.0,2023,special education teachers secondary school
25-2059,"Special Education Teachers, All Other",43700.0,2023,special education teachers all other
25-3000,Other Teachers and Instructors,1034120.0,2023,other teachers instructors
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36890.0,2023,adult basic education adult secondary education english as a second language instructors
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36890.0,2023,adult basic education adult secondary education english as a second language instructors
25-3020,Self-Enrichment Teachers,272110.0,2023,self enrichment teachers
25-3021,Self-Enrichment Teachers,272110.0,2023,self enrichment teachers
25-3030,"Substitute Teachers, Short-Term",444530.0,2023,substitute teachers short term
25-3031,"Substitute Teachers, Short-Term",444530.0,2023,substitute teachers short term
25-3040,Tutors,162300.0,2023,tutors
25-3041,Tutors,162300.0,2023,tutors
25-3090,Miscellaneous Teachers and Instructors,118290.0,2023,miscellaneous teachers instructors
25-3099,"Teachers and Instructors, All Other",118290.0,2023,teachers instructors all other
25-4000,"Librarians, Curators, and Archivists",242750.0,2023,librarians curators archivists
25-4010,"Archivists, Curators, and Museum Technicians",32330.0,2023,archivists curators museum technicians
25-4011,Archivists,7150.0,2023,archivists
25-4012,Curators,12510.0,2023,curators
25-4013,Museum Technicians and Conservators,12670.0,2023,museum technicians conservators
25-4020,Librarians and Media Collections Specialists,133760.0,2023,librarians media collections specialists
25-4022,Librarians and Media Collections Specialists,133760.0,2023,librarians media collections specialists
25-4030,Library Technicians,76670.0,2023,library technicians
25-4031,Library Technicians,76670.0,2023,library technicians
25-9000,Other Educational Instruction and Library Occupations,1812160.0,2023,other educational instruction library occupations
25-9020,Farm and Home Management Educators,8110.0,2023,farm home management educators
25-9021,Farm and Home Management Educators,8110.0,2023,farm home management educators
25-9030,Instructional Coordinators,207270.0,2023,instructional coordinators
25-9031,Instructional Coordinators,207270.0,2023,instructional coordinators
25-9040,Teaching Assistants,1483280.0,2023,teaching assistants
25-9044,"Teaching Assistants, Postsecondary",145960.0,2023,teaching assistants postsecondary
25-9045,"Teaching Assistants, Except Postsecondary",1337320.0,2023,teaching assistants except postsecondary
25-9090,Miscellaneous Educational Instruction and Library Workers,113490.0,2023,miscellaneous educational instruction library workers
25-9099,"Educational Instruction and Library Workers, All Other",113490.0,2023,educational instruction library workers all other
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",2106490.0,2023,arts design entertainment sports media occupations
27-1000,Art and Design Workers,675630.0,2023,art design workers
27-1010,Artists and Related Workers,105300.0,2023,artists related workers
27-1011,Art Directors,51200.0,2023,art directors
27-1012,Craft Artists,5830.0,2023,craft artists
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",10910.0,2023,fine artists including painters sculptors illustrators
27-1014,Special Effects Artists and Animators,29940.0,2023,special effects artists animators
27-1019,"Artists and Related Workers, All Other",7420.0,2023,artists related workers all other
27-1020,Designers,570330.0,2023,designers
27-1021,Commercial and Industrial Designers,30810.0,2023,commercial industrial designers
27-1022,Fashion Designers,19940.0,2023,fashion designers
27-1023,Floral Designers,43350.0,2023,floral designers
27-1024,Graphic Designers,212720.0,2023,graphic designers
27-1025,Interior Designers,67760.0,2023,interior designers
27-1026,Merchandise Displayers and Window Trimmers,175790.0,2023,merchandise displayers window trimmers
27-1027,Set and Exhibit Designers,10090.0,2023,set exhibit designers
