occupation_name_bls,bls_outlook,bls_url
Cattle Buyer,Faster than average,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
CCU Nurse,Faster than average,https://www.bls.gov/ooh/healthcare/registered-nurses.htm
Certified Dental Assistant,Faster than average,https://www.bls.gov/ooh/healthcare/dental-assistants.htm
Certified Detention Deputy,,https://www.bls.gov/ooh/protective-service/correctional-officers.htm
Certified Diabetes Educator,,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm
Certified Financial Planner,Faster than average,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm
Certified Genetic Counselor,Faster than average,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm
Certified Industrial Hygienist,Faster than average,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
Certified Kitchen Designer,,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm
Certified Legal Investigator,Faster than average,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm
Certified Medical Dosimetrist,,https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm
Certified Medical Transcriptionist,,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm
Certified Meeting Professional,Faster than average,https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm
Certified Mortician,,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm
Certified Nuclear Medicine Technologist,,https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm
Certified Occupational Rehabilitation Aide,Faster than average,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm
Certified Optician,,https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm
Certified Pesticide Applicator,,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm
Certified Pharmacy Technician,Faster than average,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm
Certified Phlebotomy Technician,Faster than average,https://www.bls.gov/ooh/healthcare/phlebotomists.htm
Certified Recreational Therapist,,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm
Certified Rehabilitation Counselor,Slower than average,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm
Certified Respiratory Therapist,Faster than average,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm
Certified Surgical Technologist,Faster than average,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm
Certified Veterinary Technician,Faster than average,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm
Chief Electrician,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm
Chief Medical Information Officer,Faster than average,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm
Child and Family Counselor,Faster than average,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm
Childcare Center Administrator,,https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm
Child Welfare Director,Faster than average,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm
Chiropodist,Slower than average,https://www.bls.gov/ooh/healthcare/podiatrists.htm
Chiropractic Doctor,Faster than average,https://www.bls.gov/ooh/healthcare/chiropractors.htm
Choir Director,Little or no change,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm
Community health workers,Faster than average,https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm
